TimeStep,CenterPhi
0,0.9995
10,0.9671795508408869
20,0.8860837606413737
30,0.7579200546925944
40,0.5844104235894844
50,0.3665750550242327
60,0.10416667391721188
70,-0.2044562951000269
80,-0.5616518560311606
90,-0.9684752167740409
100,-1.4205937732774498
110,-1.901613916962515
120,-2.374898926578863
130,-2.7790993184138704
140,-3.0373990824766324
150,-3.0866645826742363
160,-2.912741904167669
170,-2.5618083526411928
180,-2.116404803427751
190,-1.6587679140140499
200,-1.2472400942564985
210,-0.9109153030278155
220,-0.6557356929721497
230,-0.47560007732508397
240,-0.3633880336588501
250,-0.31683252732024375
260,-0.3370617571554036
270,-0.4234066096338269
280,-0.5709169367870197
290,-0.7730013972860617
300,-1.0248616454380757
310,-1.3219097517950176
320,-1.6530087502344817
330,-1.9944525067805159
340,-2.310252060669256
350,-2.558846994565789
360,-2.702800326464063
370,-2.719095093454008
380,-2.608106908761869
390,-2.3960359549516324
400,-2.1260064411950634
410,-1.842002292993273
420,-1.5767735264306495
430,-1.3500401554005104
440,-1.1731726414089376
450,-1.0529234408139596
460,-0.9917637922340659
470,-0.9879470677271113
480,-1.037713446194312
490,-1.1375739569447916
500,-1.2836152530445124
510,-1.468596210980536
520,-1.6802913793256102
530,-1.9022094131551093
540,-2.1145199260351832
550,-2.2942401918450046
560,-2.417505004267701
570,-2.466110493214614
580,-2.4347549426760673
590,-2.3328085640614344
600,-2.179723527500018
610,-1.9989111508446624
620,-1.8135689717851313
630,-1.6437592590580041
640,-1.5039149092662838
650,-1.4021542260570878
660,-1.3421322347626075
670,-1.3253460847182699
680,-1.3515438366087191
690,-1.4177673499488745
700,-1.5182041148445438
710,-1.6451333836770623
720,-1.789161673077719
730,-1.9381671951422632
740,-2.0769883255974815
750,-2.1896202054797156
760,-2.262748262482174
770,-2.288243116860199
780,-2.264201757396518
790,-2.1954983045611782
800,-2.0934269496245705
810,-1.9731597509233225
820,-1.8498414807822696
830,-1.735983876630889
840,-1.6411978934169682
850,-1.5726308958636814
860,-1.5346379263554248
