distance,noise,rho,sfe_score,p_phy,p_log,gain,time_sec
3,0.100,0.000,0.078700,0.002583,0.001500,1.720,0.290
3,0.100,0.500,0.121900,0.002533,0.002500,1.010,0.190
3,0.100,0.900,0.090400,0.001950,0.002500,0.780,0.230
3,0.150,0.000,0.088000,0.002521,0.002000,1.260,0.170
3,0.150,0.500,0.109100,0.002425,0.003000,0.810,0.190
3,0.150,0.900,0.130400,0.001867,0.001000,1.870,0.190
3,0.200,0.000,0.134800,0.012412,0.019500,0.640,0.270
3,0.200,0.500,0.095100,0.002229,0.000500,4.460,0.280
3,0.200,0.900,0.104400,0.002512,0.001000,2.510,0.210
5,0.100,0.000,0.085700,0.001577,0.000000,-1.000,0.260
5,0.100,0.500,0.081000,0.002312,0.000000,-1.000,0.230
5,0.100,0.900,0.097000,0.001533,0.000000,-1.000,0.300
5,0.150,0.000,0.080600,0.002455,0.000000,-1.000,0.320
5,0.150,0.500,0.086200,0.002342,0.000000,-1.000,0.280
5,0.150,0.900,0.095500,0.005132,0.000500,10.260,0.280
5,0.200,0.000,0.085800,0.002322,0.000000,-1.000,0.240
5,0.200,0.500,0.113900,0.002247,0.000000,-1.000,0.270
5,0.200,0.900,0.106600,0.004513,0.000000,-1.000,0.280
7,0.100,0.000,0.069600,0.001443,0.000000,-1.000,0.280
7,0.100,0.500,0.084900,0.001898,0.000000,-1.000,0.260
7,0.100,0.900,0.097200,0.002248,0.000000,-1.000,0.280
7,0.150,0.000,0.095800,0.012716,0.000000,-1.000,0.280
7,0.150,0.500,0.117900,0.001748,0.000000,-1.000,0.270
7,0.150,0.900,0.093300,0.002484,0.000000,-1.000,0.290
7,0.200,0.000,0.109600,0.002454,0.000000,-1.000,0.260
7,0.200,0.500,0.105100,0.004293,0.000000,-1.000,0.310
7,0.200,0.900,0.107300,0.001489,0.000000,-1.000,0.300
