PulseCount,NoiseAmp,UDD_Score,SFE_Score,Improvement_Pct
10,0.05,0.9018,0.9503,5.37
10,0.1,0.7281,0.7949,9.16
10,0.15,0.5234,0.6318,20.72
10,0.2,0.0484,0.4444,818.56
10,0.25,0.2028,0.3711,82.95
20,0.05,0.9655,0.9682,0.29
20,0.1,0.7874,0.8447,7.28
20,0.15,0.6738,0.7162,6.28
20,0.2,0.3175,0.5219,64.37
20,0.25,0.3907,0.4551,16.48
30,0.05,0.9641,0.9769,1.33
30,0.1,0.8662,0.8962,3.47
30,0.15,0.7364,0.8216,11.57
30,0.2,0.4277,0.5862,37.04
30,0.25,0.3654,0.5384,47.34
40,0.05,0.9574,0.9768,2.03
40,0.1,0.8413,0.9022,7.24
40,0.15,0.6524,0.8155,25.00
40,0.2,0.6002,0.6853,14.17
40,0.25,0.2505,0.4310,72.04
50,0.05,0.9757,0.9813,0.57
50,0.1,0.8930,0.9163,2.61
50,0.15,0.7573,0.8291,9.49
50,0.2,0.5763,0.6444,11.82
50,0.25,0.4033,0.6228,54.45
60,0.05,0.9789,0.9802,0.13
60,0.1,0.9331,0.9331,0.00
60,0.15,0.7576,0.8405,10.94
60,0.2,0.6655,0.7863,18.15
60,0.25,0.5896,0.6677,13.24
80,0.05,0.9620,0.9797,1.84
80,0.1,0.8796,0.9265,5.34
80,0.15,0.8045,0.8971,11.52
80,0.2,0.6304,0.7659,21.50
80,0.25,0.5327,0.7390,38.71
100,0.05,0.9876,0.9887,0.11
100,0.1,0.9598,0.9598,0.00
100,0.15,0.9016,0.9121,1.17
100,0.2,0.8125,0.8125,0.00
100,0.25,0.7514,0.7692,2.37
