PulseCount,NoiseAmp,UDD_Score,SFE_Score,Improvement_Pct
10,0.02,0.4479,0.7538,68.32
10,0.05,-0.0125,0.0742,695.07
10,0.1,0.0555,0.0811,46.02
10,0.15,-0.0498,0.0588,218.10
10,0.2,-0.0408,0.0753,284.36
10,0.25,0.0070,0.0680,867.65
10,0.3,-0.0093,0.0837,1002.02
20,0.02,0.6672,0.8271,23.96
20,0.05,0.0103,0.0920,789.93
20,0.1,0.0698,0.0812,16.20
20,0.15,-0.0123,0.0759,715.66
20,0.2,-0.0028,0.0758,2764.68
20,0.25,0.0202,0.0979,385.60
20,0.3,-0.0100,0.0815,912.36
30,0.02,0.8613,0.9365,8.73
30,0.05,0.0818,0.1163,42.14
30,0.1,-0.0328,0.0620,288.92
30,0.15,0.0161,0.0754,369.75
30,0.2,-0.0054,0.0858,1698.54
30,0.25,-0.0325,0.0833,356.27
30,0.3,0.0507,0.0788,55.36
40,0.02,0.8527,0.9305,9.12
40,0.05,0.0111,0.1174,958.39
40,0.1,-0.0060,0.0792,1424.55
40,0.15,0.0122,0.0969,691.96
40,0.2,0.0495,0.0897,80.99
40,0.25,0.0133,0.0873,558.34
40,0.3,0.0794,0.0794,0.00
50,0.02,0.8698,0.9425,8.36
50,0.05,0.0051,0.1382,2619.50
50,0.1,-0.0014,0.0867,6120.96
50,0.15,-0.0091,0.0868,1055.64
50,0.2,-0.0206,0.1226,695.18
50,0.25,0.0592,0.1048,77.05
50,0.3,0.0116,0.1041,800.65
60,0.02,0.8997,0.9598,6.68
60,0.05,0.1558,0.1723,10.58
60,0.1,0.0416,0.0986,136.93
60,0.15,0.0562,0.0991,76.32
60,0.2,0.0031,0.0855,2651.66
60,0.25,0.0460,0.1286,179.74
60,0.3,0.0629,0.1295,105.85
80,0.02,0.9412,0.9671,2.75
80,0.05,0.1972,0.2894,46.80
80,0.1,0.0218,0.1179,440.42
80,0.15,0.0158,0.0985,522.28
80,0.2,0.0232,0.0799,244.41
80,0.25,-0.0258,0.1120,534.49
80,0.3,0.0384,0.0967,151.98
100,0.02,0.9441,0.9576,1.43
100,0.05,0.1704,0.3039,78.33
100,0.1,-0.0224,0.1127,602.15
100,0.15,-0.0218,0.1035,575.15
100,0.2,-0.0279,0.1058,478.87
100,0.25,0.0336,0.0764,127.25
100,0.3,-0.0455,0.0896,297.07
120,0.02,0.9733,0.9775,0.43
120,0.05,0.3334,0.4120,23.58
120,0.1,-0.0516,0.1537,398.02
120,0.15,0.0472,0.1083,129.55
120,0.2,0.0028,0.0923,3234.13
120,0.25,-0.0357,0.0986,375.82
120,0.3,-0.0174,0.1036,694.37
160,0.02,0.9730,0.9838,1.11
160,0.05,0.3312,0.4795,44.78
160,0.1,0.0093,0.1320,1315.77
160,0.15,-0.0374,0.0968,358.93
160,0.2,0.0352,0.1365,288.33
160,0.25,0.0467,0.1215,160.34
160,0.3,0.0065,0.0926,1314.09
